date,channel,campaign,objective,impressions,clicks,ctr_pct,cpc,spend,conversions,conversion_rate_pct,cac,revenue,roas,data_status
2020-11-05,Meta Ads,Prospecting,Acquisition,31947,570,1.78,1.05,598.6,7,1.23,85.51,424.08,0.71,SIMULATED
2020-11-05,Meta Ads,Retargeting,Conversion,19168,608,3.17,1.25,760.13,21,3.45,36.2,1808.8,2.38,SIMULATED
2020-11-06,Display,Remarketing,Conversion,12943,313,2.42,0.9,281.67,6,1.92,46.95,438.2,1.56,SIMULATED
2020-11-06,Google Ads,Brand Search,Search,34515,2838,8.22,1.1,3121.33,114,4.02,27.38,7719.36,2.47,SIMULATED
2020-11-06,Google Ads,Non-Brand Search,Search,25887,1127,4.35,1.65,1859.03,25,2.22,74.36,1785.17,0.96,SIMULATED
2020-11-06,Google Ads,Shopping,Sales,30201,1607,5.32,1.35,2168.86,45,2.8,48.2,3509.69,1.62,SIMULATED
2020-11-06,Meta Ads,Prospecting,Acquisition,32358,563,1.74,1.05,591.51,7,1.24,84.5,418.87,0.71,SIMULATED
2020-11-06,Meta Ads,Retargeting,Conversion,19415,601,3.1,1.25,751.12,21,3.49,35.77,1787.98,2.38,SIMULATED
2020-11-07,Display,Remarketing,Conversion,13089,309,2.36,0.9,277.83,6,1.94,46.3,432.6,1.56,SIMULATED
2020-11-07,Google Ads,Brand Search,Search,34903,2799,8.02,1.1,3078.73,112,4.0,27.49,7613.28,2.47,SIMULATED
2020-11-07,Google Ads,Non-Brand Search,Search,26177,1111,4.24,1.65,1833.66,24,2.16,76.4,1759.82,0.96,SIMULATED
2020-11-07,Google Ads,Shopping,Sales,30540,1585,5.19,1.35,2139.27,44,2.78,48.62,3461.64,1.62,SIMULATED
2020-11-07,Meta Ads,Prospecting,Acquisition,32722,556,1.7,1.05,583.44,7,1.26,83.35,413.66,0.71,SIMULATED
2020-11-07,Meta Ads,Retargeting,Conversion,19633,593,3.02,1.25,740.87,21,3.54,35.28,1764.18,2.38,SIMULATED
2020-11-08,Display,Remarketing,Conversion,13212,304,2.3,0.9,273.67,6,1.97,45.61,425.6,1.56,SIMULATED
2020-11-08,Google Ads,Brand Search,Search,35231,2757,7.83,1.1,3032.68,110,3.99,27.57,7499.04,2.47,SIMULATED
2020-11-08,Google Ads,Non-Brand Search,Search,26423,1095,4.14,1.65,1806.23,24,2.19,75.26,1734.48,0.96,SIMULATED
2020-11-08,Google Ads,Shopping,Sales,30827,1561,5.06,1.35,2107.27,44,2.82,47.89,3409.22,1.62,SIMULATED
2020-11-08,Meta Ads,Prospecting,Acquisition,33029,547,1.66,1.05,574.71,7,1.28,82.1,406.97,0.71,SIMULATED
2020-11-08,Meta Ads,Retargeting,Conversion,19818,584,2.95,1.25,729.79,20,3.42,36.49,1737.4,2.38,SIMULATED
2020-11-09,Display,Remarketing,Conversion,13310,299,2.25,0.9,269.37,6,2.01,44.9,418.6,1.55,SIMULATED
2020-11-09,Google Ads,Brand Search,Search,35494,2714,7.65,1.1,2985.01,109,4.02,27.39,7382.08,2.47,SIMULATED
2020-11-09,Google Ads,Non-Brand Search,Search,26620,1077,4.05,1.65,1777.84,24,2.23,74.08,1705.97,0.96,SIMULATED
2020-11-09,Google Ads,Shopping,Sales,31057,1536,4.95,1.35,2074.14,43,2.8,48.24,3354.62,1.62,SIMULATED
2020-11-09,Meta Ads,Prospecting,Acquisition,33275,539,1.62,1.05,565.68,6,1.11,94.28,401.02,0.71,SIMULATED
2020-11-09,Meta Ads,Retargeting,Conversion,19965,575,2.88,1.25,718.32,20,3.48,35.92,1710.63,2.38,SIMULATED
2020-11-10,Display,Remarketing,Conversion,13382,295,2.2,0.9,265.09,6,2.03,44.18,413.0,1.56,SIMULATED
2020-11-10,Google Ads,Brand Search,Search,35685,2671,7.48,1.1,2937.62,107,4.01,27.45,7265.12,2.47,SIMULATED
2020-11-10,Google Ads,Non-Brand Search,Search,26764,1060,3.96,1.65,1749.61,23,2.17,76.07,1679.04,0.96,SIMULATED
2020-11-10,Google Ads,Shopping,Sales,31224,1512,4.84,1.35,2041.21,42,2.78,48.6,3302.21,1.62,SIMULATED
2020-11-10,Meta Ads,Prospecting,Acquisition,33455,530,1.58,1.05,556.69,6,1.13,92.78,394.32,0.71,SIMULATED
2020-11-10,Meta Ads,Retargeting,Conversion,20073,566,2.82,1.25,706.91,20,3.53,35.35,1683.85,2.38,SIMULATED
2020-11-11,Display,Remarketing,Conversion,13425,290,2.16,0.9,261.01,6,2.07,43.5,406.0,1.56,SIMULATED
2020-11-11,Google Ads,Brand Search,Search,35801,2629,7.34,1.1,2892.39,105,3.99,27.55,7150.88,2.47,SIMULATED
2020-11-11,Google Ads,Non-Brand Search,Search,26851,1044,3.89,1.65,1722.67,23,2.2,74.9,1653.7,0.96,SIMULATED
2020-11-11,Google Ads,Shopping,Sales,31326,1489,4.75,1.35,2009.79,42,2.82,47.85,3251.98,1.62,SIMULATED
2020-11-11,Meta Ads,Prospecting,Acquisition,33564,522,1.56,1.05,548.12,6,1.15,91.35,388.37,0.71,SIMULATED
2020-11-11,Meta Ads,Retargeting,Conversion,20138,557,2.77,1.25,696.03,19,3.41,36.63,1657.08,2.38,SIMULATED
2020-11-12,Display,Remarketing,Conversion,13440,286,2.13,0.9,257.29,6,2.1,42.88,400.4,1.56,SIMULATED
2020-11-12,Google Ads,Brand Search,Search,35840,2592,7.23,1.1,2851.14,104,4.01,27.41,7050.24,2.47,SIMULATED
2020-11-12,Google Ads,Non-Brand Search,Search,26880,1029,3.83,1.65,1698.1,23,2.24,73.83,1629.94,0.96,SIMULATED
2020-11-12,Google Ads,Shopping,Sales,31360,1467,4.68,1.35,1981.12,41,2.79,48.32,3203.93,1.62,SIMULATED
2020-11-12,Meta Ads,Prospecting,Acquisition,33600,515,1.53,1.05,540.31,6,1.17,90.05,383.16,0.71,SIMULATED
2020-11-12,Meta Ads,Retargeting,Conversion,20160,549,2.72,1.25,686.1,19,3.46,36.11,1633.28,2.38,SIMULATED
2020-11-13,Display,Remarketing,Conversion,13425,282,2.1,0.9,254.07,6,2.13,42.34,394.8,1.55,SIMULATED
2020-11-13,Google Ads,Brand Search,Search,35801,2560,7.15,1.1,2815.5,102,3.98,27.6,6963.2,2.47,SIMULATED
2020-11-13,Google Ads,Non-Brand Search,Search,26850,1016,3.78,1.65,1676.88,22,2.17,76.22,1609.34,0.96,SIMULATED
2020-11-13,Google Ads,Shopping,Sales,31325,1449,4.63,1.35,1956.36,41,2.83,47.72,3164.62,1.62,SIMULATED
2020-11-13,Meta Ads,Prospecting,Acquisition,33563,508,1.51,1.05,533.55,6,1.18,88.92,377.95,0.71,SIMULATED
2020-11-13,Meta Ads,Retargeting,Conversion,20138,542,2.69,1.25,677.53,19,3.51,35.66,1612.45,2.38,SIMULATED
2020-11-14,Display,Remarketing,Conversion,13381,279,2.09,0.9,251.49,6,2.15,41.91,390.6,1.55,SIMULATED
2020-11-14,Google Ads,Brand Search,Search,35684,2534,7.1,1.1,2786.9,101,3.99,27.59,6892.48,2.47,SIMULATED
2020-11-14,Google Ads,Non-Brand Search,Search,26763,1006,3.76,1.65,1659.84,22,2.19,75.45,1593.5,0.96,SIMULATED
2020-11-14,Google Ads,Shopping,Sales,31223,1434,4.59,1.35,1936.48,40,2.79,48.41,3131.86,1.62,SIMULATED
2020-11-14,Meta Ads,Prospecting,Acquisition,33453,503,1.5,1.05,528.13,6,1.19,88.02,374.23,0.71,SIMULATED
2020-11-14,Meta Ads,Retargeting,Conversion,20072,537,2.68,1.25,670.64,19,3.54,35.3,1597.58,2.38,SIMULATED
2020-11-15,Display,Remarketing,Conversion,13309,277,2.08,0.9,249.65,6,2.17,41.61,387.8,1.55,SIMULATED
2020-11-15,Google Ads,Brand Search,Search,35492,2515,7.09,1.1,2766.47,101,4.02,27.39,6840.8,2.47,SIMULATED
2020-11-15,Google Ads,Non-Brand Search,Search,26619,999,3.75,1.65,1647.68,22,2.2,74.89,1582.42,0.96,SIMULATED
2020-11-15,Google Ads,Shopping,Sales,31055,1424,4.59,1.35,1922.29,40,2.81,48.06,3110.02,1.62,SIMULATED
2020-11-15,Meta Ads,Prospecting,Acquisition,33273,499,1.5,1.05,524.26,6,1.2,87.38,371.26,0.71,SIMULATED
2020-11-15,Meta Ads,Retargeting,Conversion,19964,533,2.67,1.25,665.73,19,3.56,35.04,1585.68,2.38,SIMULATED
2020-11-16,Display,Remarketing,Conversion,13211,276,2.09,0.9,248.62,6,2.17,41.44,386.4,1.55,SIMULATED
2020-11-16,Google Ads,Brand Search,Search,35229,2505,7.11,1.1,2755.04,100,3.99,27.55,6813.6,2.47,SIMULATED
2020-11-16,Google Ads,Non-Brand Search,Search,26421,994,3.76,1.65,1640.87,22,2.21,74.58,1574.5,0.96,SIMULATED
2020-11-16,Google Ads,Shopping,Sales,30825,1418,4.6,1.35,1914.34,40,2.82,47.86,3096.91,1.62,SIMULATED
2020-11-16,Meta Ads,Prospecting,Acquisition,33027,497,1.5,1.05,522.09,6,1.21,87.02,369.77,0.71,SIMULATED
2020-11-16,Meta Ads,Retargeting,Conversion,19816,530,2.67,1.25,662.98,19,3.58,34.89,1576.75,2.38,SIMULATED
2020-11-17,Display,Remarketing,Conversion,13087,276,2.11,0.9,248.44,6,2.17,41.41,386.4,1.56,SIMULATED
2020-11-17,Google Ads,Brand Search,Search,34900,2503,7.17,1.1,2753.05,100,4.0,27.53,6808.16,2.47,SIMULATED
2020-11-17,Google Ads,Non-Brand Search,Search,26175,994,3.8,1.65,1639.68,22,2.21,74.53,1574.5,0.96,SIMULATED
2020-11-17,Google Ads,Shopping,Sales,30537,1417,4.64,1.35,1912.96,40,2.82,47.82,3094.73,1.62,SIMULATED
2020-11-17,Meta Ads,Prospecting,Acquisition,32719,497,1.52,1.05,521.72,6,1.21,86.95,369.77,0.71,SIMULATED
2020-11-17,Meta Ads,Retargeting,Conversion,19631,530,2.7,1.25,662.5,19,3.58,34.87,1576.75,2.38,SIMULATED
2020-11-18,Display,Remarketing,Conversion,12942,277,2.14,0.9,249.12,6,2.17,41.52,387.8,1.56,SIMULATED
2020-11-18,Google Ads,Brand Search,Search,34512,2510,7.27,1.1,2760.59,100,3.98,27.61,6827.2,2.47,SIMULATED
2020-11-18,Google Ads,Non-Brand Search,Search,25884,996,3.85,1.65,1644.17,22,2.21,74.73,1577.66,0.96,SIMULATED
2020-11-18,Google Ads,Shopping,Sales,30198,1421,4.71,1.35,1918.2,40,2.81,47.95,3103.46,1.62,SIMULATED
2020-11-18,Meta Ads,Prospecting,Acquisition,32355,498,1.54,1.05,523.15,6,1.2,87.19,370.51,0.71,SIMULATED
2020-11-18,Meta Ads,Retargeting,Conversion,19413,531,2.74,1.25,664.31,19,3.58,34.96,1579.73,2.38,SIMULATED
2020-11-19,Display,Remarketing,Conversion,12777,278,2.18,0.9,250.63,6,2.16,41.77,389.2,1.55,SIMULATED
2020-11-19,Google Ads,Brand Search,Search,34073,2525,7.41,1.1,2777.35,101,4.0,27.5,6868.0,2.47,SIMULATED
2020-11-19,Google Ads,Non-Brand Search,Search,25555,1003,3.92,1.65,1654.16,22,2.19,75.19,1588.75,0.96,SIMULATED
2020-11-19,Google Ads,Shopping,Sales,29814,1430,4.8,1.35,1929.85,40,2.8,48.25,3123.12,1.62,SIMULATED
2020-11-19,Meta Ads,Prospecting,Acquisition,31943,501,1.57,1.05,526.32,6,1.2,87.72,372.74,0.71,SIMULATED
2020-11-19,Meta Ads,Retargeting,Conversion,19166,535,2.79,1.25,668.35,19,3.55,35.18,1591.63,2.38,SIMULATED
2020-11-20,Display,Remarketing,Conversion,12597,281,2.23,0.9,252.92,6,2.14,42.15,393.4,1.56,SIMULATED
2020-11-20,Google Ads,Brand Search,Search,33591,2548,7.59,1.1,2802.67,102,4.0,27.48,6930.56,2.47,SIMULATED
2020-11-20,Google Ads,Non-Brand Search,Search,25194,1012,4.02,1.65,1669.24,22,2.17,75.87,1603.01,0.96,SIMULATED
2020-11-20,Google Ads,Shopping,Sales,29392,1443,4.91,1.35,1947.45,40,2.77,48.69,3151.51,1.62,SIMULATED
2020-11-20,Meta Ads,Prospecting,Acquisition,31492,506,1.61,1.05,531.12,6,1.19,88.52,376.46,0.71,SIMULATED
2020-11-20,Meta Ads,Retargeting,Conversion,18895,540,2.86,1.25,674.44,19,3.52,35.5,1606.5,2.38,SIMULATED
2020-11-21,Display,Remarketing,Conversion,12404,284,2.29,0.9,255.88,6,2.11,42.65,397.6,1.55,SIMULATED
2020-11-21,Google Ads,Brand Search,Search,33078,2578,7.79,1.1,2835.54,103,4.0,27.53,7012.16,2.47,SIMULATED
2020-11-21,Google Ads,Non-Brand Search,Search,24808,1024,4.13,1.65,1688.82,23,2.25,73.43,1622.02,0.96,SIMULATED
2020-11-21,Google Ads,Shopping,Sales,28943,1459,5.04,1.35,1970.29,41,2.81,48.06,3186.46,1.62,SIMULATED
2020-11-21,Meta Ads,Prospecting,Acquisition,31010,512,1.65,1.05,537.35,6,1.17,89.56,380.93,0.71,SIMULATED
2020-11-21,Meta Ads,Retargeting,Conversion,18606,546,2.93,1.25,682.35,19,3.48,35.91,1624.35,2.38,SIMULATED
2020-11-22,Display,Remarketing,Conversion,12203,288,2.36,0.9,259.41,6,2.08,43.24,403.2,1.55,SIMULATED
2020-11-22,Google Ads,Brand Search,Search,32542,2613,8.03,1.1,2874.65,105,4.02,27.38,7107.36,2.47,SIMULATED
2020-11-22,Google Ads,Non-Brand Search,Search,24406,1038,4.25,1.65,1712.11,23,2.22,74.44,1644.19,0.96,SIMULATED
2020-11-22,Google Ads,Shopping,Sales,28474,1480,5.2,1.35,1997.46,41,2.77,48.72,3232.32,1.62,SIMULATED
2020-11-22,Meta Ads,Prospecting,Acquisition,30508,519,1.7,1.05,544.76,6,1.16,90.79,386.14,0.71,SIMULATED
2020-11-22,Meta Ads,Retargeting,Conversion,18305,553,3.02,1.25,691.76,19,3.44,36.41,1645.17,2.38,SIMULATED
2020-11-23,Display,Remarketing,Conversion,11998,293,2.44,0.9,263.36,6,2.05,43.89,410.2,1.56,SIMULATED
2020-11-23,Google Ads,Brand Search,Search,31995,2653,8.29,1.1,2918.44,106,4.0,27.53,7216.16,2.47,SIMULATED
2020-11-23,Google Ads,Non-Brand Search,Search,23996,1053,4.39,1.65,1738.19,23,2.18,75.57,1667.95,0.96,SIMULATED
2020-11-23,Google Ads,Shopping,Sales,27996,1502,5.37,1.35,2027.88,42,2.8,48.28,3280.37,1.62,SIMULATED
2020-11-23,Meta Ads,Prospecting,Acquisition,29995,527,1.76,1.05,553.06,6,1.14,92.18,392.09,0.71,SIMULATED
2020-11-23,Meta Ads,Retargeting,Conversion,17997,562,3.12,1.25,702.3,20,3.56,35.11,1671.95,2.38,SIMULATED
2020-11-24,Display,Remarketing,Conversion,11793,297,2.52,0.9,267.58,6,2.02,44.6,415.8,1.55,SIMULATED
2020-11-24,Google Ads,Brand Search,Search,31448,2696,8.57,1.1,2965.16,108,4.01,27.46,7333.12,2.47,SIMULATED
2020-11-24,Google Ads,Non-Brand Search,Search,23586,1070,4.54,1.65,1766.01,24,2.24,73.58,1694.88,0.96,SIMULATED
2020-11-24,Google Ads,Shopping,Sales,27517,1526,5.55,1.35,2060.35,43,2.82,47.92,3332.78,1.62,SIMULATED
2020-11-24,Meta Ads,Prospecting,Acquisition,29483,535,1.81,1.05,561.91,6,1.12,93.65,398.04,0.71,SIMULATED
2020-11-24,Meta Ads,Retargeting,Conversion,17690,571,3.23,1.25,713.54,20,3.5,35.68,1698.73,2.38,SIMULATED
2020-11-25,Display,Remarketing,Conversion,11592,302,2.61,0.9,271.89,6,1.99,45.31,422.8,1.56,SIMULATED
2020-11-25,Google Ads,Brand Search,Search,30913,2739,8.86,1.1,3012.94,110,4.02,27.39,7450.08,2.47,SIMULATED
2020-11-25,Google Ads,Non-Brand Search,Search,23185,1088,4.69,1.65,1794.47,24,2.21,74.77,1723.39,0.96,SIMULATED
2020-11-25,Google Ads,Shopping,Sales,27049,1551,5.73,1.35,2093.55,43,2.77,48.69,3387.38,1.62,SIMULATED
2020-11-25,Meta Ads,Prospecting,Acquisition,28981,544,1.88,1.05,570.97,7,1.29,81.57,404.74,0.71,SIMULATED
2020-11-25,Meta Ads,Retargeting,Conversion,17389,580,3.34,1.25,725.04,20,3.45,36.25,1725.5,2.38,SIMULATED
2020-11-26,Display,Remarketing,Conversion,11400,307,2.69,0.9,276.13,6,1.95,46.02,429.8,1.56,SIMULATED
2020-11-26,Google Ads,Brand Search,Search,30400,2782,9.15,1.1,3059.9,111,3.99,27.57,7567.04,2.47,SIMULATED
2020-11-26,Google Ads,Non-Brand Search,Search,22800,1105,4.85,1.65,1822.44,24,2.17,75.94,1750.32,0.96,SIMULATED
2020-11-26,Google Ads,Shopping,Sales,26600,1575,5.92,1.35,2126.18,44,2.79,48.32,3439.8,1.62,SIMULATED
2020-11-26,Meta Ads,Prospecting,Acquisition,28500,552,1.94,1.05,579.87,7,1.27,82.84,410.69,0.71,SIMULATED
2020-11-26,Meta Ads,Retargeting,Conversion,17100,589,3.44,1.25,736.34,21,3.57,35.06,1752.28,2.38,SIMULATED
2020-11-27,Display,Remarketing,Conversion,11220,311,2.77,0.9,280.12,6,1.93,46.69,435.4,1.55,SIMULATED
2020-11-27,Google Ads,Brand Search,Search,29919,2822,9.43,1.1,3104.14,113,4.0,27.47,7675.84,2.47,SIMULATED
2020-11-27,Google Ads,Non-Brand Search,Search,22439,1120,4.99,1.65,1848.79,25,2.23,73.95,1774.08,0.96,SIMULATED
2020-11-27,Google Ads,Shopping,Sales,26179,1598,6.1,1.35,2156.92,45,2.82,47.93,3490.03,1.62,SIMULATED
2020-11-27,Meta Ads,Prospecting,Acquisition,28049,560,2.0,1.05,588.25,7,1.25,84.04,416.64,0.71,SIMULATED
2020-11-27,Meta Ads,Retargeting,Conversion,16830,598,3.55,1.25,746.99,21,3.51,35.57,1779.05,2.38,SIMULATED
2020-11-28,Display,Remarketing,Conversion,11055,315,2.85,0.9,283.71,6,1.9,47.28,441.0,1.55,SIMULATED
2020-11-28,Google Ads,Brand Search,Search,29481,2858,9.69,1.1,3143.92,114,3.99,27.58,7773.76,2.47,SIMULATED
2020-11-28,Google Ads,Non-Brand Search,Search,22111,1135,5.13,1.65,1872.48,25,2.2,74.9,1797.84,0.96,SIMULATED
2020-11-28,Google Ads,Shopping,Sales,25796,1618,6.27,1.35,2184.56,45,2.78,48.55,3533.71,1.62,SIMULATED
2020-11-28,Meta Ads,Prospecting,Acquisition,27638,567,2.05,1.05,595.79,7,1.23,85.11,421.85,0.71,SIMULATED
2020-11-28,Meta Ads,Retargeting,Conversion,16583,605,3.65,1.25,756.56,21,3.47,36.03,1799.88,2.38,SIMULATED
2020-11-29,Display,Remarketing,Conversion,10910,319,2.92,0.9,286.75,6,1.88,47.79,446.6,1.56,SIMULATED
2020-11-29,Google Ads,Brand Search,Search,29094,2889,9.93,1.1,3177.64,116,4.02,27.39,7858.08,2.47,SIMULATED
2020-11-29,Google Ads,Non-Brand Search,Search,21820,1147,5.26,1.65,1892.56,25,2.18,75.7,1816.85,0.96,SIMULATED
2020-11-29,Google Ads,Shopping,Sales,25457,1636,6.43,1.35,2207.99,46,2.81,48.0,3573.02,1.62,SIMULATED
2020-11-29,Meta Ads,Prospecting,Acquisition,27276,574,2.1,1.05,602.18,7,1.22,86.03,427.06,0.71,SIMULATED
2020-11-29,Meta Ads,Retargeting,Conversion,16365,612,3.74,1.25,764.67,21,3.43,36.41,1820.7,2.38,SIMULATED
2020-11-30,Display,Remarketing,Conversion,10787,321,2.98,0.9,289.13,6,1.87,48.19,449.4,1.55,SIMULATED
2020-11-30,Google Ads,Brand Search,Search,28766,2913,10.13,1.1,3203.96,117,4.02,27.38,7923.36,2.47,SIMULATED
2020-11-30,Google Ads,Non-Brand Search,Search,21575,1157,5.36,1.65,1908.24,25,2.16,76.33,1832.69,0.96,SIMULATED
2020-11-30,Google Ads,Shopping,Sales,25170,1649,6.55,1.35,2226.28,46,2.79,48.4,3601.42,1.62,SIMULATED
2020-11-30,Meta Ads,Prospecting,Acquisition,26968,578,2.14,1.05,607.17,7,1.21,86.74,430.03,0.71,SIMULATED
2020-11-30,Meta Ads,Retargeting,Conversion,16181,617,3.81,1.25,771.01,22,3.57,35.05,1835.58,2.38,SIMULATED
2020-12-01,Display,Remarketing,Conversion,10689,323,3.02,0.9,290.74,6,1.86,48.46,452.2,1.56,SIMULATED
2020-12-01,Google Ads,Brand Search,Search,28504,2929,10.28,1.1,3221.83,117,3.99,27.54,7966.88,2.47,SIMULATED
2020-12-01,Google Ads,Non-Brand Search,Search,21378,1163,5.44,1.65,1918.88,26,2.24,73.8,1842.19,0.96,SIMULATED
2020-12-01,Google Ads,Shopping,Sales,24941,1658,6.65,1.35,2238.7,46,2.77,48.67,3621.07,1.62,SIMULATED
2020-12-01,Meta Ads,Prospecting,Acquisition,26723,581,2.17,1.05,610.55,7,1.2,87.22,432.26,0.71,SIMULATED
2020-12-01,Meta Ads,Retargeting,Conversion,16034,620,3.87,1.25,775.31,22,3.55,35.24,1844.5,2.38,SIMULATED
2020-12-02,Display,Remarketing,Conversion,10618,324,3.05,0.9,291.53,6,1.85,48.59,453.6,1.56,SIMULATED
2020-12-02,Google Ads,Brand Search,Search,28314,2937,10.37,1.1,3230.53,117,3.98,27.61,7988.64,2.47,SIMULATED
2020-12-02,Google Ads,Non-Brand Search,Search,21235,1166,5.49,1.65,1924.07,26,2.23,74.0,1846.94,0.96,SIMULATED
2020-12-02,Google Ads,Shopping,Sales,24774,1663,6.71,1.35,2244.74,47,2.83,47.76,3631.99,1.62,SIMULATED
2020-12-02,Meta Ads,Prospecting,Acquisition,26544,583,2.2,1.05,612.2,7,1.2,87.46,433.75,0.71,SIMULATED
2020-12-02,Meta Ads,Retargeting,Conversion,15926,622,3.91,1.25,777.4,22,3.54,35.34,1850.45,2.38,SIMULATED
2020-12-03,Display,Remarketing,Conversion,10574,324,3.06,0.9,291.45,6,1.85,48.57,453.6,1.56,SIMULATED
2020-12-03,Google Ads,Brand Search,Search,28198,2936,10.41,1.1,3229.73,117,3.99,27.6,7985.92,2.47,SIMULATED
2020-12-03,Google Ads,Non-Brand Search,Search,21149,1166,5.51,1.65,1923.59,26,2.23,73.98,1846.94,0.96,SIMULATED
2020-12-03,Google Ads,Shopping,Sales,24673,1662,6.74,1.35,2244.19,47,2.83,47.75,3629.81,1.62,SIMULATED
2020-12-03,Meta Ads,Prospecting,Acquisition,26436,583,2.21,1.05,612.05,7,1.2,87.44,433.75,0.71,SIMULATED
2020-12-03,Meta Ads,Retargeting,Conversion,15861,622,3.92,1.25,777.21,22,3.54,35.33,1850.45,2.38,SIMULATED
2020-12-04,Display,Remarketing,Conversion,10560,323,3.06,0.9,290.53,6,1.86,48.42,452.2,1.56,SIMULATED
2020-12-04,Google Ads,Brand Search,Search,28160,2927,10.39,1.1,3219.45,117,4.0,27.52,7961.44,2.47,SIMULATED
2020-12-04,Google Ads,Non-Brand Search,Search,21120,1162,5.5,1.65,1917.47,26,2.24,73.75,1840.61,0.96,SIMULATED
2020-12-04,Google Ads,Shopping,Sales,24640,1657,6.72,1.35,2237.04,46,2.78,48.63,3618.89,1.62,SIMULATED
2020-12-04,Meta Ads,Prospecting,Acquisition,26400,581,2.2,1.05,610.1,7,1.2,87.16,432.26,0.71,SIMULATED
2020-12-04,Meta Ads,Retargeting,Conversion,15840,620,3.91,1.25,774.73,22,3.55,35.22,1844.5,2.38,SIMULATED
2020-12-05,Display,Remarketing,Conversion,10575,321,3.04,0.9,288.78,6,1.87,48.13,449.4,1.56,SIMULATED
2020-12-05,Google Ads,Brand Search,Search,28200,2909,10.32,1.1,3200.1,116,3.99,27.59,7912.48,2.47,SIMULATED
